Question Number,Question,Choice A,Choice B,Choice C,Choice D,Choice E
222,"Losses incurred by a policyholder follow a normal distribution with mean 20,000 and 
standard deviation 4,500.  The policy covers losses, subject to a deductible of 15,000.   
  
Calculate the 95th percentile of losses that exceed the deductible.","27,400","27,700","28,100","28,400","28,800"
223,"A gun shop sells gunpowder.  Monthly demand for gunpowder is normally distributed, 
averages 20 pounds, and has a standard deviation of 2 pounds.  The shop manager wishes 
to stock gunpowder inventory at the beginning of each month so that there is only a 2% 
chance that the shop will run out of gunpowder (i.e., that demand will exceed inventory) 
in any given month.  
 
Calculate the amount of gunpowder to stock in inventory, in pounds.",16,23,24,32,43
224,"A large university will begin a 13-day period during which students may register for that 
semester’s courses.  Of those 13 days, the number of elapsed days before a randomly 
selected student registers has a continuous distribution with density function f(t) that is 
symmetric about t = 6.5 and proportional to 1/(t + 1)  between days 0 and 6.5.  
 
A student registers at the 60th percentile of this distribution. 
 
Calculate the number of elapsed days in the registration period for this student.",4.01,7.80,8.99,10.22,10.51
225,"The loss L due to a boat accident is exponentially distributed. 
 
Boat insurance policy A covers up to 1 unit for each loss.  Boat insurance policy B covers 
up to 2 units for each loss. 
 
The probability that a loss is fully covered under policy B is 1.9 times the probability that 
it is fully covered under policy A. 
 
Calculate the variance of L.",0.1,0.4,2.4,9.5,90.1
226,"Losses, X, under an insurance policy are exponentially distributed with mean 10.  For 
each loss, the claim payment Y is equal to the amount of the loss in excess of a deductible  
d > 0. 
 
Calculate Var(Y).",100,"2
(10
)
d
−","/10
100
d
e−","(
)
/10
/5
100","(
)
2
/10
/5
(10
)
2
d
d
d
e
e
−
−
−
−
"
227,"For a certain insurance company, 10% of its policies are Type A, 50% are Type B, and 
40% are Type C. 
 
The annual number of claims for an individual Type A, Type B, and Type C policy 
follow Poisson distributions with respective means 1, 2, and 10.  
 
Let X represent the annual number of claims of a randomly selected policy.  
 
Calculate the variance of X.",5.10,16.09,21.19,42.10,47.20
228,"The number of tornadoes in a given year follows a Poisson distribution with mean 3. 
 
Calculate the variance of the number of tornadoes in a year given that at least one tornado 
occurs.",1.63,1.73,2.66,3.00,3.16
229,"A government employee’s yearly dental expense follows a uniform distribution on the 
interval from 200 to 1200.  The government’s primary dental plan reimburses an 
employee for up to 400 of dental expense incurred in a year, while a supplemental plan 
pays up to 500 of any remaining dental expense. 
 
Let Y represent the yearly benefit paid by the supplemental plan to a government 
employee. 
 
Calculate Var(Y).","20,833","26,042","41,042","53,333","83,333"
230,"Under a liability insurance policy, losses are uniformly distributed on [0, b], where b is a 
positive constant.  There is a deductible of b/2. 
 
Calculate the ratio of the variance of the claim payment (greater than or equal to zero) 
from a given loss to the variance of the loss.",1:8,3:16,1:4,5:16,1:2
231,"A company’s annual profit, in billions, has a normal distribution with variance equal to 
the cube of its mean.  The probability of an annual loss is 5%. 
 
Calculate the company’s expected annual profit.",370,520,780,950,1645
232,"The number of claims X on a health insurance policy is a random variable with 
2
E[
]
61
X
=
 and
2
[(
1) ]
47
E X −
=
. 
 
Calculate the standard deviation of the number of claims.",2.18,2.40,7.31,7.50,7.81
233,"Ten cards from a deck of playing cards are in a box: two diamonds, three spades, and five 
hearts.  Two cards are randomly selected without replacement. 
 
Calculate the variance of the number of diamonds selected, given that no spade is 
selected.",0.24,0.28,0.32,0.34,0.41
234,"– 236. DELETED 
 
237. 
A car and a bus arrive at a railroad crossing at times independently and uniformly 
distributed between 7:15 and 7:30.  A train arrives at the crossing at 7:20 and halts traffic 
at the crossing for five minutes. 
 
Calculate the probability that the waiting time of the car or the bus at the crossing 
exceeds three minutes.",0.25,0.27,0.36,0.40,0.56
238,"Skateboarders A and B practice one difficult stunt until becoming injured while 
attempting the stunt.  On each attempt, the probability of becoming injured is p, 
independent of the outcomes of all previous attempts. 
 
Let F(x, y) represent the probability that skateboarders A and B make no more than x and 
y attempts, respectively, where x and y are positive integers. 
 
It is given that F(2, 2) = 0.0441. 
 
Calculate F(1, 5).",0.0093,0.0216,0.0495,0.0551,0.1112
239,"The number of minor surgeries, X, and the number of major surgeries, Y, for a 
policyholder, this decade, has joint cumulative distribution function  
 
1
1
( , )
1 (0.5)
1 (0.2)
,
x
y
F x y
+
+



=
−
−


 
 
for nonnegative integers x and y. 
 
Calculate the probability that the policyholder experiences exactly three minor surgeries 
and exactly three major surgeries this decade.",0.00004,0.00040,0.03244,0.06800,0.12440
240,"A company provides a death benefit of 50,000 for each of its 1000 employees.  There is a 
1.4% chance that any one employee will die next year, independent of all other 
employees.  The company establishes a fund such that the probability is at least 0.99 that 
the fund will cover next year’s death benefits. 
 
Calculate, using the Central Limit Theorem, the smallest amount of money, rounded to 
the nearest 50 thousand, that the company must put into the fund.","750,000","850,000","1,050,000","1,150,000","1,400,000"
241,"An investor invests 100 dollars in a stock.  Each month, the investment has probability 
0.5 of increasing by 1.10 dollars and probability 0.5 of decreasing by 0.90 dollars.  The 
changes in price in different months are mutually independent. 
 
Calculate the probability that the investment has a value greater than 91 dollars at the end 
of month 100.",0.63,0.75,0.82,0.94,0.97
242,"Let X denote the loss amount sustained by an insurance company’s policyholder in an 
auto collision.  Let Z denote the portion of X that the insurance company will have to pay.  
An actuary determines that X and Z are independent with respective density and 
probability functions 
 
/8
(1/ 8)
,
0
( )
0,
otherwise
x
e
x
f x
−

>
= 

 
and 
0.45,
1
[
]
0.55,
0.
z
P Z
z
z
=

=
= 
=

 
 
Calculate the variance of the insurance company’s claim payment ZX.",13.0,15.8,28.8,35.2,44.6
243,"A couple takes out a medical insurance policy that reimburses them for days of work 
missed due to illness.  Let X and Y denote the number of days missed during a given 
month by the wife and husband, respectively.  The policy pays a monthly benefit of 50 
times the maximum of X and Y, subject to a benefit limit of 100.  X and Y are 
independent, each with a discrete uniform distribution on the set {0,1,2,3,4}. 
 
Calculate the expected monthly benefit for missed days of work that is paid to the couple.",70,90,92,95,140
244,"The table below shows the joint probability function of a sailor’s number of boating 
accidents and number of hospitalizations from these accidents this year. 
 
 
 
Number of Hospitalizations from Accidents 
Number of 
Accidents 
 
0 
1 
2 
3 
0 
0.700 
 
 
 
1 
0.150 
0.050 
 
 
2 
0.060 
0.020 
0.010 
 
3 
0.005 
0.002 
0.002 
0.001 
 
Calculate the sailor’s expected number of hospitalizations from boating accidents this 
year.",0.085,0.099,0.410,1.000,1.500
245,"On Main Street, a driver’s speed just before an accident is uniformly distributed on 
[5, 20].  Given the speed, the resulting loss from the accident is exponentially distributed 
with mean equal to three times the speed. 
 
Calculate the variance of a loss due to an accident on Main Street.",525,1463,1575,1632,1744
246,"Let X be the annual number of hurricanes hitting Florida, and let Y be the annual number 
of hurricanes hitting Texas.  X  and Y are independent Poisson variables with respective 
means 1.70 and 2.30.  
 
Calculate Var(
|
3)
X
Y X
Y
−
+
=
.",1.71,1.77,2.93,3.14,4.00
